         12034466 function calls (12015644 primitive calls) in 89.406 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   147100   33.686    0.000   45.703    0.000 4134594492.py:74(update_weights)
   147100   12.226    0.000   12.346    0.000 4134594492.py:56(get_NS)
   738442   10.939    0.000   10.939    0.000 {method 'repeat' of 'numpy.ndarray' objects}
   148571   10.908    0.000   29.090    0.000 4134594492.py:50(find_winner)
   155132    6.193    0.000    6.193    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   442771    4.613    0.000   18.026    0.000 shape_base.py:1171(tile)
896838/895840    1.986    0.000   28.629    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    1.320    1.320   88.674   88.674 4134594492.py:15(train)
  1183103    0.958    0.000    0.958    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   153189    0.656    0.000    7.073    0.000 fromnumeric.py:69(_wrapreduction)
  1771084    0.549    0.000    0.549    0.000 shape_base.py:1253(<genexpr>)
   442771    0.542    0.000   19.185    0.000 <__array_function__ internals>:2(tile)
   148571    0.522    0.000    7.653    0.000 fromnumeric.py:2123(sum)
   148571    0.419    0.000    0.419    0.000 {method 'argmin' of 'numpy.ndarray' objects}
   444889    0.381    0.000    0.381    0.000 {built-in method numpy.array}
   148571    0.339    0.000    8.246    0.000 <__array_function__ internals>:2(sum)
   885542    0.283    0.000    0.283    0.000 shape_base.py:1243(<genexpr>)
   148571    0.250    0.000    1.324    0.000 <__array_function__ internals>:2(argmin)
   148573    0.224    0.000    1.366    0.000 <__array_function__ internals>:2(unravel_index)
   442885    0.222    0.000    0.391    0.000 {built-in method builtins.all}
   149782    0.211    0.000    0.709    0.000 fromnumeric.py:51(_wrapfunc)
   148571    0.208    0.000    0.899    0.000 fromnumeric.py:1202(argmin)
   153189    0.177    0.000    0.177    0.000 fromnumeric.py:70(<dictcomp>)
597762/597746    0.144    0.000    0.144    0.000 {built-in method builtins.len}
   147111    0.119    0.000    0.119    0.000 {built-in method numpy.zeros}
   442771    0.114    0.000    0.114    0.000 shape_base.py:1167(_tile_dispatcher)
   215317    0.100    0.000    0.101    0.000 {built-in method builtins.isinstance}
209269/203692    0.088    0.000    0.136    0.000 {built-in method builtins.getattr}
   147100    0.078    0.000    0.078    0.000 {method 'transpose' of 'numpy.ndarray' objects}
   164382    0.057    0.000    0.057    0.000 {method 'items' of 'dict' objects}
   148571    0.055    0.000    0.055    0.000 fromnumeric.py:2118(_sum_dispatcher)
   148573    0.045    0.000    0.045    0.000 multiarray.py:1021(unravel_index)
   148571    0.040    0.000    0.040    0.000 fromnumeric.py:1198(_argmin_dispatcher)
      364    0.031    0.000    0.031    0.000 {built-in method builtins.dir}
      629    0.028    0.000    0.028    0.000 socket.py:480(send)
      336    0.026    0.000    0.081    0.000 traitlets.py:219(getmembers)
     3052    0.020    0.000    0.020    0.000 {method 'copy' of 'numpy.ndarray' objects}
      160    0.015    0.000    0.015    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
17114/12072    0.013    0.000    0.021    0.000 artist.py:290(stale)
        2    0.011    0.005    0.011    0.005 {method 'encode' of 'ImagingEncoder' objects}
     1268    0.011    0.000    0.018    0.000 encoder.py:204(iterencode)
22020/19470    0.010    0.000    0.052    0.000 traitlets.py:566(__get__)
      336    0.010    0.000    0.016    0.000 traitlets.py:1608(<listcomp>)
      100    0.010    0.000    0.014    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
12371/11840    0.009    0.000    0.043    0.000 traitlets.py:535(get)
    12211    0.009    0.000    0.011    0.000 __init__.py:653(__getitem__)
  716/705    0.008    0.000    0.012    0.000 traitlets.py:1231(_notify_observers)
      662    0.008    0.000    0.099    0.000 text.py:872(get_window_extent)
      176    0.007    0.000    0.066    0.000 ticker.py:2052(_raw_ticks)
    44683    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
     1476    0.006    0.000    0.014    0.000 transforms.py:767(__init__)
     2852    0.006    0.000    0.010    0.000 __init__.py:2014(_setattr_cm)
        1    0.006    0.006    0.479    0.479 4134594492.py:85(visualize)
      724    0.006    0.000    0.023    0.000 artist.py:1046(update)
      578    0.006    0.000    0.010    0.000 transforms.py:637(translated)
       88    0.005    0.000    0.214    0.002 axis.py:1040(_update_ticks)
      642    0.005    0.000    0.043    0.000 text.py:290(_get_layout)
     3683    0.005    0.000    0.005    0.000 {built-in method numpy.asarray}
      870    0.005    0.000    0.009    0.000 __init__.py:1691(normalize_kwargs)
      317    0.005    0.000    0.091    0.000 session.py:749(send)
     1218    0.005    0.000    0.007    0.000 font_manager.py:710(__hash__)
      103    0.005    0.000    0.007    0.000 std.py:355(format_meter)
      176    0.004    0.000    0.017    0.000 ticker.py:787(_set_format)
      458    0.004    0.000    0.018    0.000 font_manager.py:658(__init__)
  954/862    0.004    0.000    0.016    0.000 transforms.py:2441(get_affine)
     1268    0.004    0.000    0.027    0.000 __init__.py:183(dumps)
     1630    0.004    0.000    0.007    0.000 __init__.py:872(get_siblings)
      634    0.004    0.000    0.004    0.000 {method 'isoformat' of 'datetime.datetime' objects}
     2904    0.004    0.000    0.006    0.000 transforms.py:1783(__init__)
      659    0.004    0.000    0.004    0.000 {method 'acquire' of '_thread.lock' objects}
      336    0.004    0.000    0.102    0.000 traitlets.py:1594(traits)
     1929    0.004    0.000    0.004    0.000 contextlib.py:102(__init__)
      315    0.003    0.000    0.212    0.001 widget.py:596(notify_change)
      314    0.003    0.000    0.098    0.000 comm.py:61(_publish_msg)
     1268    0.003    0.000    0.022    0.000 encoder.py:182(encode)
      317    0.003    0.000    0.046    0.000 session.py:685(serialize)
    17118    0.003    0.000    0.003    0.000 artist.py:832(get_animated)
    14375    0.003    0.000    0.003    0.000 {method '__getitem__' of 'dict' objects}
      460    0.003    0.000    0.003    0.000 {method 'round' of 'numpy.ndarray' objects}
     4813    0.003    0.000    0.003    0.000 transforms.py:107(__init__)
      730    0.003    0.000    0.003    0.000 transforms.py:2919(_interval_contains_close)
      629    0.003    0.000    0.035    0.000 iostream.py:206(schedule)
      842    0.003    0.000    0.030    0.000 transforms.py:1480(transform)
1727/1725    0.003    0.000    0.004    0.000 __init__.py:276(process)
      124    0.003    0.000    0.024    0.000 lines.py:276(__init__)
      762    0.003    0.000    0.012    0.000 _base.py:768(<dictcomp>)
     1168    0.003    0.000    0.007    0.000 transforms.py:1900(__init__)
      188    0.003    0.000    0.004    0.000 transforms.py:2839(nonsingular)
    13283    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     1268    0.003    0.000    0.031    0.000 session.py:95(json_packer)
      176    0.003    0.000    0.010    0.000 ticker.py:714(_compute_offset)
4134/3852    0.003    0.000    0.023    0.000 {built-in method builtins.next}
     2658    0.003    0.000    0.010    0.000 artist.py:81(_stale_axes_callback)
      102    0.003    0.000    0.233    0.002 notebook.py:149(display)
     2038    0.003    0.000    0.015    0.000 fromnumeric.py:2763(amin)
      176    0.003    0.000    0.008    0.000 ticker.py:753(_set_order_of_magnitude)
      870    0.003    0.000    0.003    0.000 __init__.py:1730(<dictcomp>)
     3386    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
        4    0.003    0.001    0.003    0.001 {built-in method matplotlib._image.resample}
     2048    0.002    0.000    0.013    0.000 fromnumeric.py:2638(amax)
      136    0.002    0.000    0.032    0.000 axis.py:2261(get_tick_space)
      867    0.002    0.000    0.004    0.000 traitlets.py:1626(trait_metadata)
      144    0.002    0.000    0.024    0.000 text.py:671(draw)
     2118    0.002    0.000    0.002    0.000 {built-in method numpy.asanyarray}
  314/307    0.002    0.000    0.130    0.000 widget.py:492(get_state)
      282    0.002    0.000    0.004    0.000 artist.py:149(__init__)
       26    0.002    0.000    0.007    0.000 traitlets.py:1035(setup_instance)
      178    0.002    0.000    0.002    0.000 _methods.py:106(_clip_dep_invoke_with_casting)
      100    0.002    0.000    0.046    0.000 linalg.py:2363(norm)
1929/1858    0.002    0.000    0.012    0.000 contextlib.py:139(__exit__)
      568    0.002    0.000    0.011    0.000 fromnumeric.py:38(_wrapit)
     2386    0.002    0.000    0.003    0.000 __init__.py:101(check_in_list)
      356    0.002    0.000    0.004    0.000 _methods.py:91(_clip_dep_is_scalar_nan)
      338    0.002    0.000    0.002    0.000 {method 'sort' of 'list' objects}
     1151    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.affine_transform}
      527    0.002    0.000    0.009    0.000 axis.py:453(update_position)
      368    0.002    0.000    0.003    0.000 traitlets.py:1542(_get_trait_default_generator)
     1304    0.002    0.000    0.006    0.000 text.py:826(get_unitless_position)
      572    0.002    0.000    0.002    0.000 transforms.py:207(set_children)
      642    0.002    0.000    0.010    0.000 text.py:275(_get_layout_cache_key)
     1151    0.002    0.000    0.005    0.000 transforms.py:1862(transform_affine)
  373/372    0.002    0.000    0.008    0.000 transforms.py:1791(__eq__)
      303    0.002    0.000    0.196    0.001 widget.py:473(send_state)
     9856    0.002    0.000    0.002    0.000 artist.py:266(axes)
     1929    0.002    0.000    0.006    0.000 contextlib.py:279(helper)
      463    0.002    0.000    0.002    0.000 font_manager.py:826(set_weight)
      176    0.002    0.000    0.002    0.000 ticker.py:1879(scale_range)
  762/758    0.002    0.000    0.015    0.000 _base.py:765(_unstale_viewLim)
     2454    0.002    0.000    0.003    0.000 {built-in method builtins.any}
      317    0.002    0.000    0.010    0.000 session.py:670(sign)
     2038    0.002    0.000    0.018    0.000 <__array_function__ internals>:2(amin)
       41    0.002    0.000    0.053    0.001 axis.py:57(__init__)
     1634    0.002    0.000    0.002    0.000 __init__.py:823(clean)
     5503    0.002    0.000    0.002    0.000 transforms.py:1052(get_points)
      100    0.002    0.000    0.235    0.002 std.py:1197(update)
      730    0.002    0.000    0.005    0.000 ticker.py:577(__call__)
     2048    0.002    0.000    0.016    0.000 <__array_function__ internals>:2(amax)
1929/1859    0.002    0.000    0.015    0.000 contextlib.py:130(__enter__)
     1162    0.002    0.000    0.049    0.000 <__array_function__ internals>:2(dot)
      317    0.002    0.000    0.002    0.000 {method 'copy' of '_hashlib.HMAC' objects}
      182    0.002    0.000    0.010    0.000 transforms.py:487(transformed)
      317    0.002    0.000    0.010    0.000 session.py:644(msg)
     1268    0.002    0.000    0.002    0.000 {method 'update' of '_hashlib.HMAC' objects}
      493    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
     1268    0.002    0.000    0.002    0.000 encoder.py:104(__init__)
      634    0.002    0.000    0.007    0.000 jsonutil.py:108(json_default)
      763    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
      635    0.002    0.000    0.003    0.000 threading.py:1162(is_alive)
     1705    0.002    0.000    0.005    0.000 artist.py:405(pchanged)
      200    0.002    0.000    0.013    0.000 iostream.py:500(write)
